Date;CSP;Size;Solver;Variable Heuristic;Value Heuristic;Solutions;Duration time;Number of backs;Number of checked values;Time of First solution;Number of backs to first solution;Number of checked values to firs solution
2022-04-09T10:13:20.971162;FutoshikiCSP;4;ForwardChecking;MRV_MCV DYNAMIC;LCV DYNAMIC;1;1;10;57;1;4;26
2022-04-09T10:13:20.972755;FutoshikiCSP;4;ForwardChecking;MCV DYNAMIC;MPV DYNAMIC;1;1;53;146;0;22;70
2022-04-09T10:13:20.973873;FutoshikiCSP;4;ForwardChecking;MRV DYNAMIC;MPV DYNAMIC;1;0;15;73;0;5;37
2022-04-09T10:13:20.974856;FutoshikiCSP;4;ForwardChecking;MRV_MCV DYNAMIC;MPV DYNAMIC;1;0;8;42;0;4;31
2022-04-09T10:13:20.976575;FutoshikiCSP;5;ForwardChecking;brak;brak;1;1;51;155;0;14;47
2022-04-09T10:13:20.980025;FutoshikiCSP;5;ForwardChecking;MCV DYNAMIC;brak;1;2;113;262;1;71;170
2022-04-09T10:13:20.982020;FutoshikiCSP;5;ForwardChecking;MRV DYNAMIC;brak;1;1;27;136;1;20;116
2022-04-09T10:13:20.983838;FutoshikiCSP;5;ForwardChecking;MRV_MCV DYNAMIC;brak;1;1;26;109;1;16;76
2022-04-09T10:13:20.989287;FutoshikiCSP;5;ForwardChecking;MCV DYNAMIC;LCV DYNAMIC;1;5;113;262;1;27;78
2022-04-09T10:13:20.992471;FutoshikiCSP;5;ForwardChecking;MRV DYNAMIC;LCV DYNAMIC;1;2;27;138;2;24;124
2022-04-09T10:13:20.995499;FutoshikiCSP;5;ForwardChecking;MRV_MCV DYNAMIC;LCV DYNAMIC;1;2;25;106;1;15;72
2022-04-09T10:13:21.000169;FutoshikiCSP;5;ForwardChecking;MCV DYNAMIC;MPV DYNAMIC;1;3;113;262;2;84;206
2022-04-09T10:13:21.002542;FutoshikiCSP;5;ForwardChecking;MRV DYNAMIC;MPV DYNAMIC;1;1;27;138;0;8;49
2022-04-09T10:13:21.004476;FutoshikiCSP;5;ForwardChecking;MRV_MCV DYNAMIC;MPV DYNAMIC;1;1;26;109;1;15;75
2022-04-09T10:13:34.020316;FutoshikiCSP;6;ForwardChecking;brak;brak;133;13015;321463;816333;607;14215;34135
2022-04-09T10:13:36.142376;FutoshikiCSP;6;ForwardChecking;MCV DYNAMIC;brak;133;2121;49334;125582;496;10947;28121
2022-04-09T10:13:41.213678;FutoshikiCSP;6;ForwardChecking;MRV DYNAMIC;brak;133;5070;74299;271722;219;3770;12084
2022-04-09T10:13:41.670689;FutoshikiCSP;6;ForwardChecking;MRV_MCV DYNAMIC;brak;133;456;6460;22248;10;131;474
2022-04-09T10:13:44.879807;FutoshikiCSP;6;ForwardChecking;MCV DYNAMIC;LCV DYNAMIC;133;3208;49334;125582;1131;16786;42555
2022-04-09T10:13:52.104103;FutoshikiCSP;6;ForwardChecking;MRV DYNAMIC;LCV DYNAMIC;133;7223;71565;260314;309;3583;11296
2022-04-09T10:13:52.750876;FutoshikiCSP;6;ForwardChecking;MRV_MCV DYNAMIC;LCV DYNAMIC;133;646;6347;22016;13;118;439
2022-04-09T10:13:54.929675;FutoshikiCSP;6;ForwardChecking;MCV DYNAMIC;MPV DYNAMIC;133;2178;49334;125582;557;12323;31586
2022-04-09T10:14:00.047563;FutoshikiCSP;6;ForwardChecking;MRV DYNAMIC;MPV DYNAMIC;133;5117;74077;267735;468;7453;24606
2022-04-09T10:14:00.566915;FutoshikiCSP;6;ForwardChecking;MRV_MCV DYNAMIC;MPV DYNAMIC;133;518;7349;25077;8;101;393
